provinsi,migran_masuk_absolut,pct_migran_masuk,tahun,sumber
Aceh,47119,0.98,2019,BPS SUSENAS Maret 2019 via SMPTK 2021
Sumatera Utara,196013,1.5,2019,BPS SUSENAS Maret 2019 via SMPTK 2021
Sumatera Barat,176914,3.61,2019,BPS SUSENAS Maret 2019 via SMPTK 2021
Riau,175668,2.83,2019,BPS SUSENAS Maret 2019 via SMPTK 2021
Jambi,51408,1.56,2019,BPS SUSENAS Maret 2019 via SMPTK 2021
Sumatera Selatan,100475,1.31,2019,BPS SUSENAS Maret 2019 via SMPTK 2021
Bengkulu,44068,2.45,2019,BPS SUSENAS Maret 2019 via SMPTK 2021
Lampung,115286,1.51,2019,BPS SUSENAS Maret 2019 via SMPTK 2021
Kep. Bangka Belitung,31177,2.31,2019,BPS SUSENAS Maret 2019 via SMPTK 2021
Kepulauan Riau,190782,9.74,2019,BPS SUSENAS Maret 2019 via SMPTK 2021
DKI Jakarta,466476,4.84,2019,BPS SUSENAS Maret 2019 via SMPTK 2021
Jawa Barat,894530,2.0,2019,BPS SUSENAS Maret 2019 via SMPTK 2021
Jawa Tengah,690217,2.15,2019,BPS SUSENAS Maret 2019 via SMPTK 2021
DI Yogyakarta,264645,7.42,2019,BPS SUSENAS Maret 2019 via SMPTK 2021
Jawa Timur,450753,1.22,2019,BPS SUSENAS Maret 2019 via SMPTK 2021
Banten,307005,2.64,2019,BPS SUSENAS Maret 2019 via SMPTK 2021
Bali,123287,3.08,2019,BPS SUSENAS Maret 2019 via SMPTK 2021
Nusa Tenggara Barat,121322,2.66,2019,BPS SUSENAS Maret 2019 via SMPTK 2021
Nusa Tenggara Timur,90218,1.87,2019,BPS SUSENAS Maret 2019 via SMPTK 2021
Kalimantan Barat,28876,0.63,2019,BPS SUSENAS Maret 2019 via SMPTK 2021
Kalimantan Tengah,63234,2.58,2019,BPS SUSENAS Maret 2019 via SMPTK 2021
Kalimantan Selatan,88168,2.3,2019,BPS SUSENAS Maret 2019 via SMPTK 2021
Kalimantan Timur,136804,4.07,2019,BPS SUSENAS Maret 2019 via SMPTK 2021
Kalimantan Utara,34819,5.26,2019,BPS SUSENAS Maret 2019 via SMPTK 2021
Sulawesi Utara,38584,1.68,2019,BPS SUSENAS Maret 2019 via SMPTK 2021
Sulawesi Tengah,49990,1.82,2019,BPS SUSENAS Maret 2019 via SMPTK 2021
Sulawesi Selatan,173257,2.16,2019,BPS SUSENAS Maret 2019 via SMPTK 2021
Sulawesi Tenggara,57146,2.39,2019,BPS SUSENAS Maret 2019 via SMPTK 2021
Gorontalo,22368,2.05,2019,BPS SUSENAS Maret 2019 via SMPTK 2021
Sulawesi Barat,41906,3.42,2019,BPS SUSENAS Maret 2019 via SMPTK 2021
Maluku,35498,2.22,2019,BPS SUSENAS Maret 2019 via SMPTK 2021
Maluku Utara,19771,1.77,2019,BPS SUSENAS Maret 2019 via SMPTK 2021
Papua Barat,43807,5.14,2019,BPS SUSENAS Maret 2019 via SMPTK 2021
