provinsi,pct_migran_masuk_risen,pct_migran_keluar_risen,neto_pct,tahun,sumber
Aceh,0.3,0.6,-0.3,2024,BPS SUSENAS Maret 2024
Sumatera Utara,0.6,0.6,0.0,2024,BPS SUSENAS Maret 2024
Sumatera Barat,1.6,1.1,0.5,2024,BPS SUSENAS Maret 2024
Riau,0.7,1.1,-0.40000000000000013,2024,BPS SUSENAS Maret 2024
Jambi,0.9,0.9,0.0,2024,BPS SUSENAS Maret 2024
Sumatera Selatan,0.6,0.6,0.0,2024,BPS SUSENAS Maret 2024
Bengkulu,0.9,0.7,0.20000000000000007,2024,BPS SUSENAS Maret 2024
Lampung,0.8,0.6,0.20000000000000007,2024,BPS SUSENAS Maret 2024
Kep. Bangka Belitung,1.1,0.7,0.40000000000000013,2024,BPS SUSENAS Maret 2024
Kepulauan Riau,3.7,1.7,2.0,2024,BPS SUSENAS Maret 2024
DKI Jakarta,1.4,3.8,-2.4,2024,BPS SUSENAS Maret 2024
Jawa Barat,0.7,0.6,0.09999999999999998,2024,BPS SUSENAS Maret 2024
Jawa Tengah,1.2,0.7,0.5,2024,BPS SUSENAS Maret 2024
DI Yogyakarta,2.8,1.5,1.2999999999999998,2024,BPS SUSENAS Maret 2024
Jawa Timur,0.5,0.4,0.09999999999999998,2024,BPS SUSENAS Maret 2024
Banten,0.6,1.0,-0.4,2024,BPS SUSENAS Maret 2024
Bali,0.6,0.8,-0.20000000000000007,2024,BPS SUSENAS Maret 2024
Nusa Tenggara Barat,1.5,0.2,1.3,2024,BPS SUSENAS Maret 2024
Nusa Tenggara Timur,1.3,0.6,0.7000000000000001,2024,BPS SUSENAS Maret 2024
Kalimantan Barat,0.3,0.3,0.0,2024,BPS SUSENAS Maret 2024
Kalimantan Tengah,1.0,1.0,0.0,2024,BPS SUSENAS Maret 2024
Kalimantan Selatan,0.8,0.7,0.10000000000000009,2024,BPS SUSENAS Maret 2024
Kalimantan Timur,0.9,1.6,-0.7000000000000001,2024,BPS SUSENAS Maret 2024
Kalimantan Utara,1.0,2.2,-1.2000000000000002,2024,BPS SUSENAS Maret 2024
Sulawesi Utara,0.4,0.9,-0.5,2024,BPS SUSENAS Maret 2024
Sulawesi Tengah,0.9,0.7,0.20000000000000007,2024,BPS SUSENAS Maret 2024
Sulawesi Selatan,0.9,0.7,0.20000000000000007,2024,BPS SUSENAS Maret 2024
Sulawesi Tenggara,1.1,0.7,0.40000000000000013,2024,BPS SUSENAS Maret 2024
Gorontalo,0.5,0.4,0.09999999999999998,2024,BPS SUSENAS Maret 2024
Sulawesi Barat,1.0,1.2,-0.19999999999999996,2024,BPS SUSENAS Maret 2024
Maluku,0.9,0.9,0.0,2024,BPS SUSENAS Maret 2024
Maluku Utara,0.8,0.5,0.30000000000000004,2024,BPS SUSENAS Maret 2024
Papua Barat,1.7,2.6,-0.9000000000000001,2024,BPS SUSENAS Maret 2024
Papua Barat Daya,0.8,2.4,-1.5999999999999999,2024,BPS SUSENAS Maret 2024
Papua,0.9,3.3,-2.4,2024,BPS SUSENAS Maret 2024
Papua Selatan,1.5,0.5,1.0,2024,BPS SUSENAS Maret 2024
Papua Tengah,0.5,0.7,-0.19999999999999996,2024,BPS SUSENAS Maret 2024
Papua Pegunungan,0.4,,0.4,2024,BPS SUSENAS Maret 2024
