provinsi,migrasi_masuk,migrasi_keluar,migrasi_neto,pulau,status_migrasi
Aceh,38639,36388,2251,Sumatera,Penerima (Neto Masuk)
Sumatera Utara,182153,210630,-28477,Sumatera,Pengirim (Neto Keluar)
Sumatera Barat,178849,93181,85668,Sumatera,Penerima (Neto Masuk)
Riau,131829,152983,-21154,Sumatera,Pengirim (Neto Keluar)
Jambi,52923,60675,-7752,Sumatera,Pengirim (Neto Keluar)
Sumatera Selatan,86897,113715,-26818,Sumatera,Pengirim (Neto Keluar)
Bengkulu,34844,28897,5947,Sumatera,Penerima (Neto Masuk)
Lampung,127641,103810,23831,Sumatera,Penerima (Neto Masuk)
Kep. Bangka Belitung,30370,18367,12003,Sumatera,Penerima (Neto Masuk)
Kepulauan Riau,94199,83164,11035,Sumatera,Penerima (Neto Masuk)
DKI Jakarta,212457,797468,-585011,Jawa,Pengirim (Neto Keluar)
Jawa Barat,716469,506570,209899,Jawa,Penerima (Neto Masuk)
Jawa Tengah,778524,411891,366633,Jawa,Penerima (Neto Masuk)
DI Yogyakarta,178885,100648,78237,Jawa,Penerima (Neto Masuk)
Jawa Timur,364354,280953,83401,Jawa,Penerima (Neto Masuk)
Banten,240986,232470,8516,Jawa,Penerima (Neto Masuk)
Bali,49171,74066,-24895,Bali-Nusa,Pengirim (Neto Keluar)
Nusa Tenggara Barat,162649,30934,131715,Bali-Nusa,Penerima (Neto Masuk)
Nusa Tenggara Timur,109377,57167,52210,Bali-Nusa,Penerima (Neto Masuk)
Kalimantan Barat,58641,36656,21985,Kalimantan,Penerima (Neto Masuk)
Kalimantan Tengah,71039,74884,-3845,Kalimantan,Pengirim (Neto Keluar)
Kalimantan Selatan,59680,53866,5814,Kalimantan,Penerima (Neto Masuk)
Kalimantan Timur,103780,127084,-23304,Kalimantan,Pengirim (Neto Keluar)
Kalimantan Utara,26144,26076,68,Kalimantan,Penerima (Neto Masuk)
Sulawesi Utara,31330,31576,-246,Sulawesi,Pengirim (Neto Keluar)
Sulawesi Tengah,45678,44082,1596,Sulawesi,Penerima (Neto Masuk)
Sulawesi Selatan,155301,153670,1631,Sulawesi,Penerima (Neto Masuk)
Sulawesi Tenggara,74740,35923,38817,Sulawesi,Penerima (Neto Masuk)
Gorontalo,20354,12855,7499,Sulawesi,Penerima (Neto Masuk)
Sulawesi Barat,34464,24083,10381,Sulawesi,Penerima (Neto Masuk)
Maluku,27010,29751,-2741,Maluku-Papua,Pengirim (Neto Keluar)
Maluku Utara,15136,15284,-148,Maluku-Papua,Pengirim (Neto Keluar)
Papua Barat,35314,31654,3660,Maluku-Papua,Penerima (Neto Masuk)
Papua,39138,69394,-30256,Maluku-Papua,Pengirim (Neto Keluar)
