provinsi,tahun,pct_pekerja_migran_risen,sumber
Aceh,2021,2.1,BPS SAKERNAS Agustus 2021
Aceh,2022,2.2,BPS SAKERNAS Agustus 2022
Sumatera Utara,2021,2.7,BPS SAKERNAS Agustus 2021
Sumatera Utara,2022,3.9,BPS SAKERNAS Agustus 2022
Sumatera Barat,2021,3.6,BPS SAKERNAS Agustus 2021
Sumatera Barat,2022,4.7,BPS SAKERNAS Agustus 2022
Riau,2021,2.3,BPS SAKERNAS Agustus 2021
Riau,2022,2.7,BPS SAKERNAS Agustus 2022
Jambi,2021,1.6,BPS SAKERNAS Agustus 2021
Jambi,2022,1.9,BPS SAKERNAS Agustus 2022
Sumatera Selatan,2021,1.5,BPS SAKERNAS Agustus 2021
Sumatera Selatan,2022,2.1,BPS SAKERNAS Agustus 2022
Bengkulu,2021,1.8,BPS SAKERNAS Agustus 2021
Bengkulu,2022,2.8,BPS SAKERNAS Agustus 2022
Lampung,2021,2.0,BPS SAKERNAS Agustus 2021
Lampung,2022,2.6,BPS SAKERNAS Agustus 2022
Kep. Bangka Belitung,2021,2.4,BPS SAKERNAS Agustus 2021
Kep. Bangka Belitung,2022,3.6,BPS SAKERNAS Agustus 2022
Kepulauan Riau,2021,5.8,BPS SAKERNAS Agustus 2021
Kepulauan Riau,2022,6.0,BPS SAKERNAS Agustus 2022
DKI Jakarta,2021,3.7,BPS SAKERNAS Agustus 2021
DKI Jakarta,2022,2.4,BPS SAKERNAS Agustus 2022
Jawa Barat,2021,2.4,BPS SAKERNAS Agustus 2021
Jawa Barat,2022,2.7,BPS SAKERNAS Agustus 2022
Jawa Tengah,2021,2.7,BPS SAKERNAS Agustus 2021
Jawa Tengah,2022,2.9,BPS SAKERNAS Agustus 2022
DI Yogyakarta,2021,3.9,BPS SAKERNAS Agustus 2021
DI Yogyakarta,2022,5.2,BPS SAKERNAS Agustus 2022
Jawa Timur,2021,2.1,BPS SAKERNAS Agustus 2021
Jawa Timur,2022,2.0,BPS SAKERNAS Agustus 2022
Banten,2021,1.2,BPS SAKERNAS Agustus 2021
Banten,2022,1.8,BPS SAKERNAS Agustus 2022
Bali,2021,3.4,BPS SAKERNAS Agustus 2021
Bali,2022,3.2,BPS SAKERNAS Agustus 2022
Nusa Tenggara Barat,2021,3.9,BPS SAKERNAS Agustus 2021
Nusa Tenggara Barat,2022,4.3,BPS SAKERNAS Agustus 2022
Nusa Tenggara Timur,2021,3.6,BPS SAKERNAS Agustus 2021
Nusa Tenggara Timur,2022,3.9,BPS SAKERNAS Agustus 2022
Kalimantan Barat,2021,1.7,BPS SAKERNAS Agustus 2021
Kalimantan Barat,2022,2.3,BPS SAKERNAS Agustus 2022
Kalimantan Tengah,2021,2.5,BPS SAKERNAS Agustus 2021
Kalimantan Tengah,2022,3.7,BPS SAKERNAS Agustus 2022
Kalimantan Selatan,2021,2.5,BPS SAKERNAS Agustus 2021
Kalimantan Selatan,2022,3.8,BPS SAKERNAS Agustus 2022
Kalimantan Timur,2021,2.8,BPS SAKERNAS Agustus 2021
Kalimantan Timur,2022,3.3,BPS SAKERNAS Agustus 2022
Kalimantan Utara,2021,3.4,BPS SAKERNAS Agustus 2021
Kalimantan Utara,2022,4.3,BPS SAKERNAS Agustus 2022
Sulawesi Utara,2021,1.7,BPS SAKERNAS Agustus 2021
Sulawesi Utara,2022,2.3,BPS SAKERNAS Agustus 2022
Sulawesi Tengah,2021,2.3,BPS SAKERNAS Agustus 2021
Sulawesi Tengah,2022,2.6,BPS SAKERNAS Agustus 2022
Sulawesi Selatan,2021,2.5,BPS SAKERNAS Agustus 2021
Sulawesi Selatan,2022,3.1,BPS SAKERNAS Agustus 2022
Sulawesi Tenggara,2021,3.7,BPS SAKERNAS Agustus 2021
Sulawesi Tenggara,2022,5.0,BPS SAKERNAS Agustus 2022
Gorontalo,2021,2.1,BPS SAKERNAS Agustus 2021
Gorontalo,2022,2.5,BPS SAKERNAS Agustus 2022
Sulawesi Barat,2021,2.6,BPS SAKERNAS Agustus 2021
Sulawesi Barat,2022,2.7,BPS SAKERNAS Agustus 2022
Maluku,2021,2.9,BPS SAKERNAS Agustus 2021
Maluku,2022,3.9,BPS SAKERNAS Agustus 2022
Maluku Utara,2021,3.4,BPS SAKERNAS Agustus 2021
Maluku Utara,2022,2.8,BPS SAKERNAS Agustus 2022
Papua Barat,2021,4.2,BPS SAKERNAS Agustus 2021
Papua Barat,2022,4.5,BPS SAKERNAS Agustus 2022
Papua,2021,1.5,BPS SAKERNAS Agustus 2021
Papua,2022,1.3,BPS SAKERNAS Agustus 2022
